cod_departamento,departamento,cod_candidato,candidato,partido,votos
07,BOYACA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,426
07,BOYACA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,142
07,BOYACA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
07,BOYACA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
09,CALDAS,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,218862
09,CALDAS,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,146218
09,CALDAS,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,61920
09,CALDAS,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,26666
09,CALDAS,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,13825
09,CALDAS,996,No Marcados,Sin partido / Voto especial,9842
09,CALDAS,997,Votos Nulos,Sin partido / Voto especial,9744
09,CALDAS,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,6096
09,CALDAS,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,4897
09,CALDAS,998,Votos en Blanco,Sin partido / Voto especial,2437
09,CALDAS,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1084
09,CALDAS,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",595
09,CALDAS,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,439
09,CALDAS,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,147
09,CALDAS,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
09,CALDAS,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
11,CAUCA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,463068
11,CAUCA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,131187
11,CAUCA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,40376
11,CAUCA,996,No Marcados,Sin partido / Voto especial,16452
11,CAUCA,997,Votos Nulos,Sin partido / Voto especial,15584
11,CAUCA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,12007
11,CAUCA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,5172
11,CAUCA,998,Votos en Blanco,Sin partido / Voto especial,4931
11,CAUCA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,3959
11,CAUCA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1223
11,CAUCA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1207
11,CAUCA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",804
11,CAUCA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,718
11,CAUCA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,217
11,CAUCA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
11,CAUCA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
12,CESAR,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,225055
12,CESAR,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,224043
12,CESAR,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,11949
12,CESAR,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,8209
12,CESAR,996,No Marcados,Sin partido / Voto especial,7094
12,CESAR,997,Votos Nulos,Sin partido / Voto especial,4696
12,CESAR,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3887
12,CESAR,998,Votos en Blanco,Sin partido / Voto especial,1318
12,CESAR,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1122
12,CESAR,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,880
12,CESAR,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,360
12,CESAR,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",232
12,CESAR,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,167
12,CESAR,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,81
12,CESAR,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
12,CESAR,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
13,CORDOBA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,394598
13,CORDOBA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,268819
13,CORDOBA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,19464
