cod_departamento,departamento,cod_candidato,candidato,partido,votos
26,QUINDIO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,435
26,QUINDIO,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",262
26,QUINDIO,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,219
26,QUINDIO,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,64
26,QUINDIO,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
26,QUINDIO,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
27,SANTANDER,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,684621
27,SANTANDER,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,344546
27,SANTANDER,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,76733
27,SANTANDER,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,47302
27,SANTANDER,996,No Marcados,Sin partido / Voto especial,17983
27,SANTANDER,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,16775
27,SANTANDER,997,Votos Nulos,Sin partido / Voto especial,10102
27,SANTANDER,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,6397
27,SANTANDER,998,Votos en Blanco,Sin partido / Voto especial,2369
27,SANTANDER,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1494
27,SANTANDER,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1297
27,SANTANDER,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",795
27,SANTANDER,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,497
27,SANTANDER,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,172
27,SANTANDER,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
27,SANTANDER,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
28,SUCRE,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,226884
28,SUCRE,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,145827
28,SUCRE,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,14319
28,SUCRE,996,No Marcados,Sin partido / Voto especial,5022
28,SUCRE,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,4331
28,SUCRE,997,Votos Nulos,Sin partido / Voto especial,2658
28,SUCRE,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,1627
28,SUCRE,998,Votos en Blanco,Sin partido / Voto especial,1430
28,SUCRE,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,839
28,SUCRE,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,560
28,SUCRE,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,368
28,SUCRE,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",343
28,SUCRE,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,255
28,SUCRE,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,65
28,SUCRE,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
28,SUCRE,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
29,TOLIMA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,315364
29,TOLIMA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,235760
29,TOLIMA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,70984
29,TOLIMA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,20325
29,TOLIMA,996,No Marcados,Sin partido / Voto especial,11760
29,TOLIMA,997,Votos Nulos,Sin partido / Voto especial,9266
29,TOLIMA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,8289
29,TOLIMA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,4847
29,TOLIMA,998,Votos en Blanco,Sin partido / Voto especial,2510
29,TOLIMA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1465
29,TOLIMA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1305
29,TOLIMA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",756
29,TOLIMA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,613
29,TOLIMA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,177
29,TOLIMA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
29,TOLIMA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
31,VALLE,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1124311
31,VALLE,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,711766
31,VALLE,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,118664
31,VALLE,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,77322
31,VALLE,996,No Marcados,Sin partido / Voto especial,40004
31,VALLE,997,Votos Nulos,Sin partido / Voto especial,23236
31,VALLE,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,15232
31,VALLE,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,12525
31,VALLE,998,Votos en Blanco,Sin partido / Voto especial,5822
31,VALLE,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,3117
31,VALLE,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,2033
31,VALLE,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",1668
31,VALLE,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1498
31,VALLE,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,483
31,VALLE,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
31,VALLE,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
40,ARAUCA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,50728
40,ARAUCA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,34106
40,ARAUCA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,5906
40,ARAUCA,996,No Marcados,Sin partido / Voto especial,2579
40,ARAUCA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,2308
40,ARAUCA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,1893
40,ARAUCA,997,Votos Nulos,Sin partido / Voto especial,1662
40,ARAUCA,998,Votos en Blanco,Sin partido / Voto especial,521
40,ARAUCA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,467
40,ARAUCA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,232
40,ARAUCA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,216
40,ARAUCA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",115
40,ARAUCA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,98
40,ARAUCA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,24
40,ARAUCA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
40,ARAUCA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
44,CAQUETA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,81775
44,CAQUETA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,66480
44,CAQUETA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,8252
44,CAQUETA,996,No Marcados,Sin partido / Voto especial,4963
44,CAQUETA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,4044
44,CAQUETA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3363
44,CAQUETA,997,Votos Nulos,Sin partido / Voto especial,2714
44,CAQUETA,998,Votos en Blanco,Sin partido / Voto especial,1149
44,CAQUETA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,878
44,CAQUETA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,433
44,CAQUETA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,374
44,CAQUETA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",245
44,CAQUETA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,183
44,CAQUETA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,67
44,CAQUETA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
44,CAQUETA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
46,CASANARE,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,134484
46,CASANARE,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,54205
46,CASANARE,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,14697
46,CASANARE,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,6042
46,CASANARE,996,No Marcados,Sin partido / Voto especial,3920
46,CASANARE,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3633
46,CASANARE,997,Votos Nulos,Sin partido / Voto especial,3066
46,CASANARE,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1072
46,CASANARE,998,Votos en Blanco,Sin partido / Voto especial,669
46,CASANARE,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,330
46,CASANARE,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,287
46,CASANARE,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",208
46,CASANARE,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,181
46,CASANARE,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,45
46,CASANARE,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
46,CASANARE,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
48,LA GUAJIRA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,140831
48,LA GUAJIRA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,96193
48,LA GUAJIRA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,6224
48,LA GUAJIRA,996,No Marcados,Sin partido / Voto especial,3816
48,LA GUAJIRA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,2951
48,LA GUAJIRA,997,Votos Nulos,Sin partido / Voto especial,2513
48,LA GUAJIRA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,1548
48,LA GUAJIRA,998,Votos en Blanco,Sin partido / Voto especial,1093
48,LA GUAJIRA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,658
48,LA GUAJIRA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,651
48,LA GUAJIRA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,300
48,LA GUAJIRA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",226
48,LA GUAJIRA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,177
48,LA GUAJIRA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,95
48,LA GUAJIRA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
48,LA GUAJIRA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
50,GUAINIA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,6778
50,GUAINIA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,3722
50,GUAINIA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,688
50,GUAINIA,996,No Marcados,Sin partido / Voto especial,247
50,GUAINIA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,188
50,GUAINIA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,134
50,GUAINIA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,110
50,GUAINIA,997,Votos Nulos,Sin partido / Voto especial,82
50,GUAINIA,998,Votos en Blanco,Sin partido / Voto especial,67
50,GUAINIA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,43
50,GUAINIA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,31
50,GUAINIA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",21
50,GUAINIA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,10
50,GUAINIA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,4
50,GUAINIA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
50,GUAINIA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
52,META,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,279900
52,META,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,174077
52,META,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,36696
52,META,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,17768
52,META,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,12331
52,META,996,No Marcados,Sin partido / Voto especial,9580
52,META,997,Votos Nulos,Sin partido / Voto especial,9007
52,META,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,3230
52,META,998,Votos en Blanco,Sin partido / Voto especial,1506
52,META,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,828
52,META,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,645
52,META,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",478
52,META,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,310
52,META,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,128
52,META,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
52,META,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
54,GUAVIARE,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,16063
54,GUAVIARE,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,12680
54,GUAVIARE,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,2010
54,GUAVIARE,996,No Marcados,Sin partido / Voto especial,1113
54,GUAVIARE,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,825
54,GUAVIARE,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,754
54,GUAVIARE,997,Votos Nulos,Sin partido / Voto especial,731
54,GUAVIARE,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,298
54,GUAVIARE,998,Votos en Blanco,Sin partido / Voto especial,203
54,GUAVIARE,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,90
54,GUAVIARE,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,68
54,GUAVIARE,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",45
54,GUAVIARE,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,33
54,GUAVIARE,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,10
54,GUAVIARE,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
54,GUAVIARE,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
56,SAN ANDRES,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,7936
56,SAN ANDRES,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,7793
56,SAN ANDRES,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,832
56,SAN ANDRES,996,No Marcados,Sin partido / Voto especial,669
56,SAN ANDRES,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,535
56,SAN ANDRES,997,Votos Nulos,Sin partido / Voto especial,86
56,SAN ANDRES,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,70
56,SAN ANDRES,998,Votos en Blanco,Sin partido / Voto especial,60
56,SAN ANDRES,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,52
56,SAN ANDRES,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,26
56,SAN ANDRES,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,23
56,SAN ANDRES,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,22
56,SAN ANDRES,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",12
56,SAN ANDRES,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,2
56,SAN ANDRES,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
56,SAN ANDRES,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
60,AMAZONAS,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,13963
60,AMAZONAS,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,7882
60,AMAZONAS,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,1598
60,AMAZONAS,996,No Marcados,Sin partido / Voto especial,479
60,AMAZONAS,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,477
60,AMAZONAS,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,341
60,AMAZONAS,997,Votos Nulos,Sin partido / Voto especial,235
60,AMAZONAS,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,218
60,AMAZONAS,998,Votos en Blanco,Sin partido / Voto especial,165
60,AMAZONAS,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,66
60,AMAZONAS,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,53
60,AMAZONAS,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,35
60,AMAZONAS,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",27
60,AMAZONAS,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,12
60,AMAZONAS,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
60,AMAZONAS,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
64,PUTUMAYO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,94395
64,PUTUMAYO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,25089
64,PUTUMAYO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,4427
64,PUTUMAYO,996,No Marcados,Sin partido / Voto especial,2946
64,PUTUMAYO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,2127
64,PUTUMAYO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,1706
64,PUTUMAYO,997,Votos Nulos,Sin partido / Voto especial,1706
64,PUTUMAYO,998,Votos en Blanco,Sin partido / Voto especial,601
64,PUTUMAYO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,581
64,PUTUMAYO,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",386
64,PUTUMAYO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,223
64,PUTUMAYO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,170
64,PUTUMAYO,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,86
64,PUTUMAYO,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,49
64,PUTUMAYO,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
64,PUTUMAYO,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
68,VAUPES,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,6932
68,VAUPES,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1379
68,VAUPES,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,344
68,VAUPES,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,148
68,VAUPES,996,No Marcados,Sin partido / Voto especial,140
68,VAUPES,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,69
68,VAUPES,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,53
68,VAUPES,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,52
68,VAUPES,997,Votos Nulos,Sin partido / Voto especial,45
68,VAUPES,998,Votos en Blanco,Sin partido / Voto especial,38
68,VAUPES,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,17
68,VAUPES,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,16
68,VAUPES,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",12
68,VAUPES,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,8
68,VAUPES,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
68,VAUPES,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
72,VICHADA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,9811
72,VICHADA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,9334
72,VICHADA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,959
72,VICHADA,996,No Marcados,Sin partido / Voto especial,332
72,VICHADA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,312
72,VICHADA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,293
72,VICHADA,997,Votos Nulos,Sin partido / Voto especial,169
72,VICHADA,998,Votos en Blanco,Sin partido / Voto especial,145
72,VICHADA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,90
72,VICHADA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,71
72,VICHADA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,37
72,VICHADA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,29
72,VICHADA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",26
72,VICHADA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,6
72,VICHADA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
72,VICHADA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
88,CONSULADOS,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,320813
88,CONSULADOS,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,167759
88,CONSULADOS,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,54693
88,CONSULADOS,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,31705
88,CONSULADOS,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,6295
88,CONSULADOS,996,No Marcados,Sin partido / Voto especial,4623
88,CONSULADOS,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,2365
88,CONSULADOS,997,Votos Nulos,Sin partido / Voto especial,1032
88,CONSULADOS,998,Votos en Blanco,Sin partido / Voto especial,668
88,CONSULADOS,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",352
