cod_departamento,departamento,cod_municipio,municipio,cod_candidato,candidato,partido,votos
01,ANTIOQUIA,010,ALEJANDRIA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1811
01,ANTIOQUIA,010,ALEJANDRIA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,389
01,ANTIOQUIA,010,ALEJANDRIA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,312
01,ANTIOQUIA,010,ALEJANDRIA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,114
01,ANTIOQUIA,010,ALEJANDRIA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,48
01,ANTIOQUIA,010,ALEJANDRIA,996,No Marcados,Sin partido / Voto especial,30
01,ANTIOQUIA,010,ALEJANDRIA,998,Votos en Blanco,Sin partido / Voto especial,25
01,ANTIOQUIA,010,ALEJANDRIA,997,Votos Nulos,Sin partido / Voto especial,14
01,ANTIOQUIA,010,ALEJANDRIA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,8
01,ANTIOQUIA,010,ALEJANDRIA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,3
01,ANTIOQUIA,010,ALEJANDRIA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",3
01,ANTIOQUIA,010,ALEJANDRIA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2
01,ANTIOQUIA,010,ALEJANDRIA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1
01,ANTIOQUIA,010,ALEJANDRIA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,010,ALEJANDRIA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,0
01,ANTIOQUIA,010,ALEJANDRIA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,013,AMAGA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,6545
01,ANTIOQUIA,013,AMAGA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,3882
01,ANTIOQUIA,013,AMAGA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,1067
01,ANTIOQUIA,013,AMAGA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,655
01,ANTIOQUIA,013,AMAGA,996,No Marcados,Sin partido / Voto especial,331
01,ANTIOQUIA,013,AMAGA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,325
01,ANTIOQUIA,013,AMAGA,997,Votos Nulos,Sin partido / Voto especial,211
01,ANTIOQUIA,013,AMAGA,998,Votos en Blanco,Sin partido / Voto especial,80
01,ANTIOQUIA,013,AMAGA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,52
01,ANTIOQUIA,013,AMAGA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,35
01,ANTIOQUIA,013,AMAGA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,21
01,ANTIOQUIA,013,AMAGA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",19
01,ANTIOQUIA,013,AMAGA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,10
01,ANTIOQUIA,013,AMAGA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,2
01,ANTIOQUIA,013,AMAGA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,013,AMAGA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,016,AMALFI,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,4087
01,ANTIOQUIA,016,AMALFI,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1140
01,ANTIOQUIA,016,AMALFI,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,590
01,ANTIOQUIA,016,AMALFI,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,327
01,ANTIOQUIA,016,AMALFI,996,No Marcados,Sin partido / Voto especial,232
01,ANTIOQUIA,016,AMALFI,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,153
01,ANTIOQUIA,016,AMALFI,997,Votos Nulos,Sin partido / Voto especial,66
01,ANTIOQUIA,016,AMALFI,998,Votos en Blanco,Sin partido / Voto especial,49
01,ANTIOQUIA,016,AMALFI,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,41
01,ANTIOQUIA,016,AMALFI,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,27
01,ANTIOQUIA,016,AMALFI,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,18
01,ANTIOQUIA,016,AMALFI,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",14
01,ANTIOQUIA,016,AMALFI,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,9
01,ANTIOQUIA,016,AMALFI,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,3
01,ANTIOQUIA,016,AMALFI,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,016,AMALFI,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,019,ANDES,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,10138
01,ANTIOQUIA,019,ANDES,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,3583
01,ANTIOQUIA,019,ANDES,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,2563
01,ANTIOQUIA,019,ANDES,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,584
01,ANTIOQUIA,019,ANDES,996,No Marcados,Sin partido / Voto especial,246
01,ANTIOQUIA,019,ANDES,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,242
01,ANTIOQUIA,019,ANDES,997,Votos Nulos,Sin partido / Voto especial,117
01,ANTIOQUIA,019,ANDES,998,Votos en Blanco,Sin partido / Voto especial,72
01,ANTIOQUIA,019,ANDES,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,52
01,ANTIOQUIA,019,ANDES,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,45
01,ANTIOQUIA,019,ANDES,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,19
